Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.373
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.359
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.370
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.352
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.385
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.353
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.344
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.362
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.338
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.376
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.360
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.378
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.340
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.364
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.331
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.325
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.368
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.358
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.342
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.343
Total:   270 | Class: 5 | [0,0,0,0,0,270,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.369
Total:   270 | Class: 6 | [0,0,0,0,0,0,270,0,0,0] | Acc: 100.00 | Acc2: 0.00 | Time: 0.342
Total:   270 | Class: 7 | [0,0,0,0,0,0,0,270,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.351
Total:   270 | Class: 8 | [0,0,0,0,0,0,0,0,270,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.355
Total:   270 | Class: 9 | [0,0,0,0,0,0,0,0,0,270] | Acc: 100.00 | Acc2: 100.00 | Time: 0.314
Total:   270 | Class: 0 | [270,0,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.409
Total:   270 | Class: 1 | [0,270,0,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.392
Total:   270 | Class: 2 | [0,0,270,0,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.376
Total:   270 | Class: 3 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.393
Total:   270 | Class: 4 | [0,0,270,0,0,0,0,0,0,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.363
